name,ttm,12/31/25,12/31/24,12/31/23,12/31/22,12/31/21,12/31/20,12/31/19,12/31/18,12/31/17,12/31/16,12/31/15,12/31/14,12/31/13,12/31/12,12/31/11,12/31/10,12/31/09,12/31/08,12/31/07,12/31/06,12/31/05,12/31/04,12/31/03,12/31/02,12/31/01,12/31/00,12/31/99,12/31/98,12/31/97,12/31/96,12/31/95,12/31/94,12/31/93,12/31/92,12/31/91,12/31/90,12/31/89
"		Gain on Sale of PPE",,,"-11,000,000","-385,000,000","-481,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"-200,000","-1,016,000",,,,,
"	Other Non Operating Income Expenses","1,000,000","-16,000,000",,"-39,000,000","50,000,000","36,000,000","-9,000,000","-26,000,000","-23,000,000","3,000,000","13,000,000","1,000,000","20,000,000","-5,000,000","9,000,000","-2,000,000","8,000,000",,,,,,,,,,,,,,,,,,,,,
Pretax Income,"62,000,000","146,000,000","545,000,000","323,000,000","79,000,000","629,000,000","-1,840,000,000","1,016,000,000","585,000,000","1,159,000,000","1,316,000,000","1,312,000,000","975,000,000","816,000,000","514,000,000","394,000,000","406,000,000","202,900,000","-213,200,000","200,500,000","-87,800,000","137,200,000","-20,600,000","29,000,000","-101,800,000","-63,500,000","-26,900,000","220,700,000","204,400,000","123,600,000","64,300,000","34,000,000","40,961,000","-45,800,000","-125,700,000","16,200,000","28,000,000","69,300,000"
Tax Provision,"-11,000,000","46,000,000","150,000,000","88,000,000","21,000,000","151,000,000","-516,000,000","247,000,000","148,000,000","199,000,000","519,000,000","464,000,000","370,000,000","308,000,000","198,000,000","149,000,000","155,000,000","81,300,000","-77,300,000","76,200,000","-35,200,000","52,700,000","-5,300,000","15,500,000","-34,600,000","-20,100,000","-6,500,000","86,500,000","80,000,000","51,200,000","26,300,000","16,700,000","18,430,000","-14,900,000","-45,400,000","5,900,000","10,800,000","26,400,000"
Net Income Common Stockholders,"73,000,000","100,000,000","395,000,000","235,000,000","58,000,000","478,000,000","-1,324,000,000","769,000,000","437,000,000","960,000,000","797,000,000","848,000,000","605,000,000","508,000,000","316,000,000","245,000,000","251,000,000","121,600,000","-135,900,000","124,300,000","-52,600,000","-5,900,000","-15,300,000","13,500,000","-118,600,000","-43,400,000","-67,200,000","134,200,000","124,400,000","72,400,000","38,000,000","17,300,000","22,531,000","-33,400,000","-91,600,000","3,600,000","11,200,000","42,900,000"
"	Net Income","73,000,000","100,000,000","395,000,000","235,000,000","58,000,000","478,000,000","-1,324,000,000","769,000,000","437,000,000","960,000,000","797,000,000","848,000,000","605,000,000","508,000,000","316,000,000","245,000,000","251,000,000","121,600,000","-135,900,000","124,300,000","-52,600,000","-5,900,000","-15,300,000","13,500,000","-118,600,000","-43,400,000","-67,200,000","134,200,000","124,400,000","72,400,000","38,000,000","17,300,000","22,531,000","-30,900,000","-84,900,000","10,300,000","17,200,000","42,900,000"
"		Net Income Including Non-Controlling Interests","73,000,000","100,000,000","395,000,000","235,000,000","58,000,000","478,000,000","-1,324,000,000","769,000,000","437,000,000","960,000,000","797,000,000","848,000,000","605,000,000","508,000,000","316,000,000","245,000,000","251,000,000","121,600,000","-135,900,000","124,300,000","-52,600,000","-5,900,000","-15,300,000","13,500,000","-118,600,000","-43,400,000","-67,200,000","134,200,000","124,400,000","72,400,000","38,000,000","17,300,000","22,531,000","-30,900,000","-84,900,000","10,300,000","17,200,000","42,900,000"
"			Net Income Continuous Operations","73,000,000","100,000,000","395,000,000","235,000,000","58,000,000","478,000,000","-1,324,000,000","769,000,000","437,000,000","960,000,000","797,000,000","848,000,000","605,000,000","508,000,000","316,000,000","245,000,000","251,000,000","121,600,000","-135,900,000","124,300,000","-52,600,000","84,500,000","-15,300,000","13,500,000","-67,200,000","-43,400,000","-20,400,000","134,200,000","124,400,000","72,400,000","38,000,000","17,300,000","22,531,000","-30,900,000","-80,300,000","10,300,000","17,200,000","42,900,000"
"			Net Income Extraordinary",,,,,,,,,,,,,,,,,,,,0,0,"-90,400,000",0,0,"-51,400,000",0,"-46,800,000",0,,,,,0,,"-4,600,000",,,
"	Preferred Stock Dividends",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,500,000","6,700,000","6,700,000","6,000,000",
Diluted NI Available to Com Stockholders,"73,000,000","100,000,000","395,000,000","235,000,000","58,000,000","478,000,000","-1,324,000,000","769,000,000","437,000,000","960,000,000","797,000,000","848,000,000","605,000,000","508,000,000","316,000,000","245,000,000","251,000,000","121,600,000","-135,900,000","124,300,000","-52,600,000","-5,900,000","-15,300,000","13,500,000","-118,600,000","-43,400,000","-67,200,000","134,200,000","124,400,000","72,400,000","38,000,000","17,300,000","22,531,000","-33,400,000","-91,600,000","3,600,000","11,200,000","42,900,000"
Basic EPS,0.51,0.85,3.13,1.84,0.46,3.82,-10.59,6.24,3.55,7.801,6.59,6.61,4.47,3.63,2.235,1.703,1.753,0.848,-0.935,0.775,-0.348,-0.053,-0.143,0.128,-1.118,-0.41,-0.635,1.273,1.33,1.225,0.663,0.32,0.42,-0.628,-1.718,0.068,0.205,0.678
Diluted EPS,0.49,0.83,3.08,1.83,0.45,3.77,-10.59,6.19,3.52,7.75,6.54,6.56,4.42,3.58,2.2,1.665,1.708,0.84,-0.935,0.768,-0.348,-0.053,-0.143,0.128,-1.118,-0.41,-0.635,1.265,1.203,0.883,0.513,0.315,0.405,-0.628,-1.718,0.068,0.205,0.628
